NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
C4orf17	1	ENSG00000138813	
CACNG1	1	ENSG00000108878	
DCAF10	1	ENSG00000122741	
DCAF11	1	ENSG00000100897	
CACNG2	1	ENSG00000166862	
CACNG3	1	ENSG00000006116	
DCAF12	1	ENSG00000198876	
CACNG4	1	ENSG00000075461	
DCAF13	1	ENSG00000164934	
CACNG5	1	ENSG00000075429	
OR7E41P	1	ENSG00000250640	
DDHD2	1	ENSG00000085788	
DDHD1	1	ENSG00000100523	
KLF4	1	ENSG00000136826	
KLF3	1	ENSG00000109787	
OXR1	1	ENSG00000164830	
KLF2	1	ENSG00000127528	
KLF1	1	ENSG00000105610	
KLF8	1	ENSG00000102349	
KLF7	1	ENSG00000118263	
KLF6	1	ENSG00000067082	
KLF5	1	ENSG00000102554	
KLF9	1	ENSG00000119138	
RUNDC1	1	ENSG00000198863	
OXTR	1	ENSG00000180914	
HSP90AA4P	1	ENSG00000205100	
HPSE2	1	ENSG00000172987	
DIXDC1	1	ENSG00000150764	
RRH	1	ENSG00000180245	
RS1	1	ENSG00000102104	
MRGPRX13P	1	ENSG00000254546	
RIMKLBP1	1	ENSG00000189089	
SERPINB8P1	1	ENSG00000217707	
RIMKLBP2	1	ENSG00000225920	
OR7E33P	1	ENSG00000226537	
UTS2R	1	ENSG00000181408	
OR7E31P	1	ENSG00000185074	
HSP90AA3P	1	ENSG00000231434	
OXSM	1	ENSG00000151093	
BROX	1	ENSG00000162819	
YTHDF1P1	1	ENSG00000251389	
C3P1	1	ENSG00000167798	
UTS2B	1	ENSG00000188958	
GBP1P1	1	ENSG00000225492	
XRN1	1	ENSG00000114127	
XRN2	1	ENSG00000088930	
TFAM	1	ENSG00000108064	
TELO2	1	ENSG00000100726	
IGSF8	1	ENSG00000162729	
IGSF5	1	ENSG00000183067	
IGSF6	1	ENSG00000140749	
ANP32A	1	ENSG00000140350	
IGSF3	1	ENSG00000143061	
KLK1	1	ENSG00000167748	
IGSF1	1	ENSG00000147255	
KLK5	1	ENSG00000167754	
ELOAP1	1	ENSG00000235640	
KLK4	1	ENSG00000167749	
KLK3	1	ENSG00000142515	
KLK2	1	ENSG00000167751	
HSP90AA6P	1	ENSG00000181359	
KLK9	1	ENSG00000213022	
KLK8	1	ENSG00000129455	
IGSF9	1	ENSG00000085552	
KLK7	1	ENSG00000169035	
KLK6	1	ENSG00000167755	
MRGPRX11P	1	ENSG00000254738	
OR7E35P	1	ENSG00000250425	
COILP1	1	ENSG00000259100	
BCL11B	1	ENSG00000127152	
BCL11A	1	ENSG00000119866	
PYHIN1	1	ENSG00000163564	
ANKEF1	1	ENSG00000132623	
HSP90AA5P	1	ENSG00000205955	
GOLM2P1	1	ENSG00000238132	
SPRTN	1	ENSG00000010072	
ANP32E	1	ENSG00000143401	
ANP32D	1	ENSG00000139223	
ANP32C	1	ENSG00000248546	
ANP32B	1	ENSG00000136938	
MRGPRX12P	1	ENSG00000254857	
MRS2	1	ENSG00000124532	
KLLN	1	ENSG00000227268	
BCL2L12P1	1	ENSG00000248530	
OR5S1P	1	ENSG00000213048	
ZNF101P1	1	ENSG00000237746	
ZNF101P2	1	ENSG00000234473	
BRS3	1	ENSG00000102239	
SERP2	1	ENSG00000151778	
SERP1	1	ENSG00000120742	
QARS1	1	ENSG00000172053	
KIF13A	1	ENSG00000137177	
FFAR4	1	ENSG00000186188	
KIF13B	1	ENSG00000197892	
FFAR3	1	ENSG00000185897	
FFAR2	1	ENSG00000126262	
FFAR1	1	ENSG00000126266	
OR7E37P	1	ENSG00000215480	
ISCA2P1	1	ENSG00000226912	
TFE3	1	ENSG00000068323	
TFEB	1	ENSG00000112561	
TFEC	1	ENSG00000105967	
TFF3	1	ENSG00000160180	
TFF2	1	ENSG00000160181	
MAPRE3	1	ENSG00000084764	
TFF1	1	ENSG00000160182	
MAPRE1	1	ENSG00000101367	
FATE1	1	ENSG00000147378	
OR7E36P	1	ENSG00000205240	
MRRF	1	ENSG00000148187	
MAPRE2	1	ENSG00000166974	
MRGPRX10P	1	ENSG00000254720	
SPRR4	1	ENSG00000184148	
SPRR3	1	ENSG00000163209	
IFI6	1	ENSG00000126709	
TMEM231P1	1	ENSG00000262583	
PDCD6IPP2	1	ENSG00000261377	
OR7E39P	1	ENSG00000273252	
OOSP1P1	1	ENSG00000238037	
RYK	1	ENSG00000163785	
OOSP1P2	1	ENSG00000263749	
ENSAP1	1	ENSG00000224274	
CTSLP8	1	ENSG00000234575	
ENSAP2	1	ENSG00000259032	
ENSAP3	1	ENSG00000177261	
CTSLP6	1	ENSG00000204437	
PUS7L	1	ENSG00000129317	
PSMA3P1	1	ENSG00000258563	
M6PRP1	1	ENSG00000228042	
CTSLP1	1	ENSG00000236417	
CTSLP4	1	ENSG00000230011	
OR7E38P	1	ENSG00000183444	
GALNT12	1	ENSG00000119514	
GALNT11	1	ENSG00000178234	
GALNT14	1	ENSG00000158089	
GALNT13	1	ENSG00000144278	
GALNT16	1	ENSG00000100626	
GALNT15	1	ENSG00000131386	
GALNT18	1	ENSG00000110328	
GALNT17	1	ENSG00000185274	
MTND2P25	1	ENSG00000228182	
MTND2P26	1	ENSG00000254565	
MTND2P23	1	ENSG00000232631	
MTND2P24	1	ENSG00000231947	
MTND2P21	1	ENSG00000230950	
MTND2P22	1	ENSG00000231954	
GALNT10	1	ENSG00000164574	
MTND2P20	1	ENSG00000229701	
EFTUD2	1	ENSG00000108883	
LINC01909	1	ENSG00000266258	
MTND2P18	1	ENSG00000234939	
MTND2P19	1	ENSG00000231567	
MTND2P16	1	ENSG00000230818	
MTND2P17	1	ENSG00000258239	
KRTAP13-2	1	ENSG00000182816	
KRTAP13-1	1	ENSG00000198390	
KRTAP13-4	1	ENSG00000186971	
KRTAP13-3	1	ENSG00000240432	
MTND2P14	1	ENSG00000240796	
MTND2P15	1	ENSG00000231152	
MTND2P12	1	ENSG00000228725	
MTND2P13	1	ENSG00000263914	
MTND2P11	1	ENSG00000237124	
PTCHD3P2	1	ENSG00000231550	
PTCHD3P3	1	ENSG00000219700	
ZNF687-AS1	1	ENSG00000232671	
OXA1L	1	ENSG00000155463	
COL4A2	1	ENSG00000134871	
KIF16B	1	ENSG00000089177	
COL4A1	1	ENSG00000187498	
COL4A4	1	ENSG00000081052	
COL4A3	1	ENSG00000169031	
COL4A6	1	ENSG00000197565	
COL4A5	1	ENSG00000188153	
MTND2P40	1	ENSG00000236483	
SUCNR1	1	ENSG00000198829	
C5AR2	1	ENSG00000134830	
C5AR1	1	ENSG00000197405	
ADIPOR1	1	ENSG00000159346	
ADIPOR2	1	ENSG00000006831	
PSORS1C1	6	ENSG00000231094:ENSG00000206458:ENSG00000233439:ENSG00000233734:ENSG00000204540:ENSG00000235487	
PSORS1C2	5	ENSG00000204538:ENSG00000234605:ENSG00000206459:ENSG00000224544:ENSG00000232127	
PCSK1N	1	ENSG00000102109	
MTND2P38	1	ENSG00000253828	
MTND2P39	1	ENSG00000230130	
LINC01921	1	ENSG00000223874	
DMAP1	1	ENSG00000178028	
MTND2P32	1	ENSG00000254090	
MTND2P33	1	ENSG00000248907	
MTND2P30	1	ENSG00000227937	
MTND2P31	1	ENSG00000251252	
NR4A2	1	ENSG00000153234	
HMGA2-AS1	1	ENSG00000197301	
NR4A1	1	ENSG00000123358	
KIF18A	1	ENSG00000121621	
RALYL	1	ENSG00000184672	
NR4A3	1	ENSG00000119508	
SYNDIG1L	1	ENSG00000183379	
KIF18B	1	ENSG00000186185	
MTND2P29	1	ENSG00000233595	
MTND2P28	1	ENSG00000225630	
ARAP2	1	ENSG00000047365	
CKAP2	1	ENSG00000136108	
ARAP3	1	ENSG00000120318	
ARAP1	1	ENSG00000186635	
CKAP5	1	ENSG00000175216	
CKAP4	1	ENSG00000136026	
RPL29P4	1	ENSG00000230202	
AGAP9	1	ENSG00000204172	
RPL29P3	1	ENSG00000243730	
RPL29P6	1	ENSG00000215381	
RPL29P5	1	ENSG00000213579	
IFNG	1	ENSG00000111537	
AGAP6	1	ENSG00000204149	
RPL29P8	1	ENSG00000223777	
AGAP5	1	ENSG00000172650	
RPL29P7	1	ENSG00000213063	
IFNE	1	ENSG00000184995	
RPL29P9	1	ENSG00000233565	
SAG	1	ENSG00000130561	
IFNK	1	ENSG00000147896	
MST1P2	1	ENSG00000186301	
RPL29P2	1	ENSG00000240480	
RPL29P1	1	ENSG00000236512	
HSP90AA2P	1	ENSG00000224411	
SLFN5	1	ENSG00000166750	
GTF2IRD1P1	1	ENSG00000230583	
TFPI	1	ENSG00000003436	
PPP1R14BP3	1	ENSG00000179967	
PPP1R14BP2	1	ENSG00000213082	
PPP1R14BP5	1	ENSG00000213133	
PPP1R14BP4	1	ENSG00000270889	
TFPT	1	ENSG00000105619	
TCFL5	1	ENSG00000101190	
HAGHL	1	ENSG00000103253	
SPRY4	1	ENSG00000187678	
SCLT1	1	ENSG00000151466	
SCD	1	ENSG00000099194	
SPRY3	1	ENSG00000168939	
SPRY2	1	ENSG00000136158	
SPRY1	1	ENSG00000164056	
PGLYRP4	1	ENSG00000163218	
PGLYRP3	1	ENSG00000159527	
PGLYRP2	1	ENSG00000161031	
TFRC	1	ENSG00000072274	
SCT	1	ENSG00000070031	
ZNF736P8Y	1	ENSG00000244246	
SCX	1	ENSG00000260428	
FBRSL1P1	1	ENSG00000241439	
PTPDC1	1	ENSG00000158079	
COMTD1	1	ENSG00000165644	
CAPNS1	1	ENSG00000126247	
LINC02716	1	ENSG00000205106	
CAPNS2	1	ENSG00000256812	
PGLYRP1	1	ENSG00000008438	
SDS	1	ENSG00000135094	
UNC5A	1	ENSG00000113763	
UNC5B	1	ENSG00000107731	
UNC5C	1	ENSG00000182168	
ABCF2P1	1	ENSG00000242159	
UNC5D	1	ENSG00000156687	
ZNF736P7Y	1	ENSG00000241200	
TFR2	1	ENSG00000106327	
ABCF2P2	1	ENSG00000228769	
DDIT3	1	ENSG00000175197	
UNC50	1	ENSG00000115446	
DDIT4	1	ENSG00000168209	
SF1	1	ENSG00000168066	
SET	1	ENSG00000119335	
FAXDC2	1	ENSG00000170271	
ZNF736P6Y	1	ENSG00000224634	
NBPF21P	1	ENSG00000231382	
ADAMTS12	1	ENSG00000151388	
ADAMTS10	1	ENSG00000142303	
ADAMTS16	1	ENSG00000145536	
ADAMTS15	1	ENSG00000166106	
ADAMTS14	1	ENSG00000138316	
ADAMTS13	1	ENSG00000160323	
ADAMTS19	1	ENSG00000145808	
ADAMTS18	1	ENSG00000140873	
FAR1P1	1	ENSG00000235879	
ADAMTS17	1	ENSG00000140470	
SFN	1	ENSG00000175793	
NSRP1P1	1	ENSG00000235613	
KRTAP16-1	1	ENSG00000212657	
NBPF22P	1	ENSG00000205449	
L1CAM	1	ENSG00000198910	
ZNF736P5Y	1	ENSG00000230819	
MOV10	1	ENSG00000155363	
LINC02724	1	ENSG00000181908	
HYOU1	1	ENSG00000149428	
DZIP1	1	ENSG00000134874	
DZIP3	1	ENSG00000198919	
CCND3P2	1	ENSG00000265836	
CCND3P1	1	ENSG00000224473	
SHB	1	ENSG00000107338	
SHD	1	ENSG00000105251	
MMP21	1	ENSG00000154485	
MMP20	1	ENSG00000137674	
SHF	1	ENSG00000138606	
SHE	1	ENSG00000169291	
MMP25	1	ENSG00000008516	
SHH	1	ENSG00000164690	
MMP24	1	ENSG00000125966	
MMP27	1	ENSG00000137675	
MMP26	1	ENSG00000167346	
MMP28	1	ENSG00000271447	
CYP4F10P	1	ENSG00000267241	
MMP10	1	ENSG00000166670	
MMP12	1	ENSG00000262406	
MMP11	1	ENSG00000099953	
MMP14	1	ENSG00000157227	
TRAPPC2P10	1	ENSG00000228465	
MMP13	1	ENSG00000137745	
MMP16	1	ENSG00000156103	
MMP15	1	ENSG00000102996	
MMP17	1	ENSG00000198598	
MMP19	1	ENSG00000123342	
TRUB1	1	ENSG00000165832	
TRUB2	1	ENSG00000167112	
NBPF25P	1	ENSG00000272150	
HSPE1-MOB4	1	ENSG00000270757	
UBE2D3P4	1	ENSG00000224188	
UBE2D3P3	1	ENSG00000224690	
UBE2D3P2	1	ENSG00000225558	
UBE2D3P1	1	ENSG00000225022	
RICTOR	1	ENSG00000164327	
BMP8A	1	ENSG00000183682	
BMP8B	1	ENSG00000116985	
BBOX1	1	ENSG00000129151	
ZNF736P9Y	1	ENSG00000239893	
ARCN1	1	ENSG00000095139	
SKI	1	ENSG00000157933	
MTCH1	1	ENSG00000137409	
MTCH2	1	ENSG00000109919	
PDCD7	1	ENSG00000090470	
PDCD6	1	ENSG00000249915	
PDCD5	1	ENSG00000105185	
SLA	1	ENSG00000155926	
MSI1	1	ENSG00000135097	
MSI2	1	ENSG00000153944	
SLK	1	ENSG00000065613	
SLN	1	ENSG00000170290	
NFATC2IP	1	ENSG00000176953	
IGHVIII-38-1	1	ENSG00000253989	
MFAP1P1	1	ENSG00000232489	
LINC02790	1	ENSG00000237435	
MSH6	1	ENSG00000116062	
VMAC	1	ENSG00000187650	
MSH2	1	ENSG00000095002	
SMO	1	ENSG00000128602	
MSH3	1	ENSG00000113318	
MSH4	1	ENSG00000057468	
MSH5	8	ENSG00000227314:ENSG00000237333:ENSG00000204410:ENSG00000230961:ENSG00000235569:ENSG00000233345:ENSG00000230293:ENSG00000235222	
SMS	1	ENSG00000102172	
RAP1B	1	ENSG00000127314	
TAAR3P	1	ENSG00000179073	
SNN	1	ENSG00000184602	
RAP1A	1	ENSG00000116473	
NDOR1	1	ENSG00000188566	
ZKSCAN7	1	ENSG00000196345	
ZKSCAN8	1	ENSG00000198315	
ZKSCAN3	1	ENSG00000189298	
ZKSCAN2	1	ENSG00000155592	
ZKSCAN5	1	ENSG00000196652	
ZKSCAN4	1	ENSG00000187626	
NAP1L6P	1	ENSG00000204118	
ZKSCAN1	1	ENSG00000106261	
NOP14	1	ENSG00000087269	
NOP16	1	ENSG00000048162	
CCDC137P2	1	ENSG00000239350	
RFXANK	1	ENSG00000064490	
G6PC1	1	ENSG00000131482	
LRCH2	1	ENSG00000130224	
LRCH1	1	ENSG00000136141	
G6PC3	1	ENSG00000141349	
SON	1	ENSG00000159140	
TAAR4P	1	ENSG00000237449	
SP2	1	ENSG00000167182	
SP1	1	ENSG00000185591	
SP4	1	ENSG00000105866	
SP3	1	ENSG00000172845	
SP6	1	ENSG00000189120	
SP5	1	ENSG00000204335	
SP8	1	ENSG00000164651	
SP7	1	ENSG00000170374	
LRCH4	1	ENSG00000077454	
LRCH3	1	ENSG00000186001	
SP9	1	ENSG00000217236	
NOP10	1	ENSG00000182117	
BMP10	1	ENSG00000163217	
MTCL1	1	ENSG00000168502	
DYSF	1	ENSG00000135636	
AKAP8P1	1	ENSG00000234146	
MSLN	1	ENSG00000102854	
BICD1	1	ENSG00000151746	
BICD2	1	ENSG00000185963	
BMP15	1	ENSG00000130385	
UNC80	1	ENSG00000144406	
SPN	1	ENSG00000197471	
SPR	1	ENSG00000116096	
PRADC1	1	ENSG00000135617	
SPDYE2	1	ENSG00000205238	
SPDYE1	1	ENSG00000136206	
SPX	1	ENSG00000134548	
FAUP1	1	ENSG00000235297	
FAUP2	1	ENSG00000237806	
FAUP4	1	ENSG00000173727	
MSL2	1	ENSG00000174579	
MSL3	1	ENSG00000005302	
ADAMTS20	1	ENSG00000173157	
MSL1	1	ENSG00000188895	
HIF1AP1	1	ENSG00000258978	
BMP2K	1	ENSG00000138756	
GAPDH	1	ENSG00000111640	
BLTP3A	1	ENSG00000065060	
BLTP3B	1	ENSG00000111647	
SRC	1	ENSG00000197122	
SRF	1	ENSG00000112658	
SRI	1	ENSG00000075142	
SRL	1	ENSG00000185739	
SRM	1	ENSG00000116649	
ARID3BP1	1	ENSG00000227288	
SRR	1	ENSG00000167720	
FAM120A2P	1	ENSG00000204352	
KRIT1	1	ENSG00000001631	
BSND	1	ENSG00000162399	
SRY	1	ENSG00000184895	
TAAR7P	1	ENSG00000235998	
NOP56	1	ENSG00000101361	
NOP58	1	ENSG00000055044	
BOLA3P4	1	ENSG00000223807	
SSB	1	ENSG00000138385	
BOLA3P3	1	ENSG00000213630	
BOLA3P2	1	ENSG00000267332	
BOLA3P1	1	ENSG00000255469	
SPDYE4	1	ENSG00000183318	
SPDYE3	1	ENSG00000214300	
SPDYE6	1	ENSG00000260097	
SPDYE5	1	ENSG00000170092	
MSMP	1	ENSG00000215183	
BICC1	1	ENSG00000122870	
DYTN	1	ENSG00000232125	
NECAP2	1	ENSG00000157191	
NECAP1	1	ENSG00000089818	
UROC1	1	ENSG00000159650	
SST	1	ENSG00000157005	
ST7	1	ENSG00000004866	
IGF2BP2-AS1	1	ENSG00000163915	
PDCD4	1	ENSG00000150593	
PDCD2	1	ENSG00000071994	
PDCD1	1	ENSG00000188389	
EGFEM1P	1	ENSG00000206120	
NOP53	1	ENSG00000105373	
UNC79	1	ENSG00000133958	
STH	1	ENSG00000256762	
MT1L	1	ENSG00000260549	
MT1M	1	ENSG00000205364	
MT1X	1	ENSG00000187193	
RCBTB1	1	ENSG00000136144	
IGLV8-61	1	ENSG00000211638	
RCBTB2	1	ENSG00000136161	
MT2A	1	ENSG00000125148	
STS	1	ENSG00000101846	
TNFSF10	1	ENSG00000121858	
TNFSF11	1	ENSG00000120659	
MRPL51P2	1	ENSG00000232777	
QRSL1P3	1	ENSG00000257957	
QRSL1P2	1	ENSG00000227613	
GNA13P1	1	ENSG00000230237	
QRSL1P1	1	ENSG00000215833	
CYP39A1	1	ENSG00000146233	
SNORC	1	ENSG00000182600	
MT1A	1	ENSG00000205362	
MT1F	1	ENSG00000198417	
MT1G	1	ENSG00000125144	
MTCP1	1	ENSG00000214827	
MT1H	1	ENSG00000205358	
MT1B	1	ENSG00000169688	
MT1E	1	ENSG00000169715	
MYCBP2	1	ENSG00000005810	
TGFA	1	ENSG00000163235	
STK38L	1	ENSG00000211455	
IGLVIV-66-1	1	ENSG00000253874	
TNFSF18	1	ENSG00000120337	
APOBEC3C	1	ENSG00000244509	
MSR1	1	ENSG00000038945	
APOBEC3D	1	ENSG00000243811	
APOBEC3F	1	ENSG00000128394	
TNFSF14	1	ENSG00000125735	
APOBEC3G	1	ENSG00000239713	
TGDS	1	ENSG00000088451	
APOBEC3H	1	ENSG00000100298	
DDIAS	1	ENSG00000165490	
TNFSF15	1	ENSG00000181634	
TNFSF12	1	ENSG00000239697	
TNFSF13	1	ENSG00000161955	
IGF2	1	ENSG00000167244	
IGF1	1	ENSG00000017427	
BST2	1	ENSG00000130303	
BST1	1	ENSG00000109743	
MSRA	1	ENSG00000175806	
ITGBL1	1	ENSG00000198542	
APOBEC3A	2	ENSG00000128383:ENSG00000262156	
LDHAL6A	1	ENSG00000166800	
LDHAL6B	1	ENSG00000171989	
APOBEC3B	1	ENSG00000179750	
IGHM	2	ENSG00000211899:ENSG00000271541	
MSTN	1	ENSG00000138379	
DMBX1	1	ENSG00000197587	
VMO1	1	ENSG00000182853	
RAC2	1	ENSG00000128340	
RAC3	1	ENSG00000169750	
RAC1	1	ENSG00000136238	
SYK	1	ENSG00000165025	
MST1	1	ENSG00000173531	
GAB1	1	ENSG00000109458	
GAB3	1	ENSG00000160219	
GAB2	1	ENSG00000033327	
SYP	1	ENSG00000102003	
GAB4	1	ENSG00000215568	
RAP2C	1	ENSG00000123728	
CNKSR2	1	ENSG00000149970	
CNKSR1	1	ENSG00000142675	
RAP2A	1	ENSG00000125249	
RAP2B	1	ENSG00000181467	
CNKSR3	1	ENSG00000153721	
TLCD4	1	ENSG00000152078	
IGHD	1	ENSG00000211898	
IGHE	1	ENSG00000211891	
MICU3	1	ENSG00000155970	
TLCD2	1	ENSG00000185561	
TLCD1	1	ENSG00000160606	
MICU2	1	ENSG00000165487	
MICU1	1	ENSG00000107745	
TLCD5	1	ENSG00000181264	
HNRNPFP1	1	ENSG00000227538	
ELK2AP	1	ENSG00000213140	
SH3BGRL	1	ENSG00000131171	
ZFP14	1	ENSG00000142065	
IGKC	1	ENSG00000211592	
FHIP1A	1	ENSG00000164142	
FHIP1B	1	ENSG00000051009	
MSX1	1	ENSG00000163132	
RAE1	1	ENSG00000101146	
SLC25A5P5	1	ENSG00000226421	
SLC25A5P6	1	ENSG00000213332	
SLC25A5P3	1	ENSG00000213673	
SLC25A5P4	1	ENSG00000234421	
SLC25A5P1	1	ENSG00000215347	
SLC25A5P2	1	ENSG00000235064	
GAD1	1	ENSG00000128683	
IGIP	1	ENSG00000182700	
GAD2	1	ENSG00000136750	
ELK2BP	1	ENSG00000234402	
SLC25A5P9	1	ENSG00000251078	
SLC25A5P7	1	ENSG00000218180	
SLC25A5P8	1	ENSG00000225347	
VMP1	1	ENSG00000062716	
PRKCIP1	1	ENSG00000237682	
PDCL3	1	ENSG00000115539	
PDCL2	1	ENSG00000163440	
FHIP2A	1	ENSG00000151553	
FHIP2B	1	ENSG00000158863	
TACC3	1	ENSG00000013810	
CACHD1	1	ENSG00000158966	
RAD1	1	ENSG00000113456	
TACC1	1	ENSG00000147526	
TACC2	1	ENSG00000138162	
ZFP28	1	ENSG00000196867	
OR1C1	1	ENSG00000221888	
DENND5B	1	ENSG00000170456	
TACO1	1	ENSG00000136463	
TGM1	1	ENSG00000092295	
DMBT1	1	ENSG00000187908	
TGM7	1	ENSG00000159495	
DENND5A	1	ENSG00000184014	
TGM6	1	ENSG00000166948	
TGM5	1	ENSG00000104055	
RAG2	1	ENSG00000175097	
TGM4	1	ENSG00000163810	
TGM3	1	ENSG00000125780	
RAG1	1	ENSG00000166349	
TGM2	1	ENSG00000198959	
MSX2	1	ENSG00000120149	
RADX	1	ENSG00000147231	
CARTPT	1	ENSG00000164326	
PSPC1	1	ENSG00000121390	
DENND6B	1	ENSG00000205593	
BBOF1	1	ENSG00000119636	
DENND6A	1	ENSG00000174839	
RAF1	1	ENSG00000132155	
CSPG4P5	1	ENSG00000272887	
OR1A2	1	ENSG00000172150	
OR1A1	1	ENSG00000172146	
DNAAF11P1	1	ENSG00000254784	
NBPF17P	1	ENSG00000179571	
VPS51P1	1	ENSG00000260431	
RAI1	1	ENSG00000108557	
VPS51P2	1	ENSG00000232097	
NBPF18P	1	ENSG00000240667	
VPS51P9	1	ENSG00000254889	
IL36RN	1	ENSG00000136695	
VPS51P7	1	ENSG00000249347	
VPS51P8	1	ENSG00000255025	
VPS51P5	1	ENSG00000230851	
VPS51P6	1	ENSG00000239432	
RAI2	1	ENSG00000131831	
VPS51P3	1	ENSG00000256136	
VPS51P4	1	ENSG00000239383	
DENND4B	1	ENSG00000198837	
DENND4A	1	ENSG00000174485	
DENND4C	1	ENSG00000137145	
TLX1NB	1	ENSG00000236311	
VN1R104P	1	ENSG00000249654	
TAT	1	ENSG00000198650	
OR1G1	1	ENSG00000183024	
ZNF736P4Y	1	ENSG00000236379	
VN1R105P	1	ENSG00000242856	
KHDC1P1	1	ENSG00000251360	
TBP	1	ENSG00000112592	
OR1F1	1	ENSG00000168124	
EIF3LP3	1	ENSG00000226086	
EIF3LP1	1	ENSG00000258501	
ZNF736P3Y	1	ENSG00000233126	
EIF3LP2	1	ENSG00000233837	
AARSD1P1	1	ENSG00000234969	
RALA	1	ENSG00000006451	
OR1E3	1	ENSG00000142163	
RALB	1	ENSG00000144118	
GALT	1	ENSG00000213930	
OR1E2	1	ENSG00000127780	
OR1E1	1	ENSG00000180016	
IGLV3-1	1	ENSG00000211673	
ZNF736P2Y	1	ENSG00000226270	
PIP5K1P2	1	ENSG00000229435	
IGLV3-7	1	ENSG00000254077	
IGLV3-6	1	ENSG00000253448	
IGLV3-9	1	ENSG00000211670	
VN1R107P	1	ENSG00000268545	
MTA1	1	ENSG00000182979	
PIP5K1P1	1	ENSG00000219294	
OXCT1	1	ENSG00000083720	
IGKV1-39	1	ENSG00000242371	
IGLV3-2	1	ENSG00000253963	
TGS1	1	ENSG00000137574	
TDG	1	ENSG00000139372	
MVB12B	1	ENSG00000196814	
IGLV3-4	1	ENSG00000226420	
IGKV1-37	1	ENSG00000239862	
MVB12A	1	ENSG00000141971	
SLIT1	1	ENSG00000187122	
DROSHA	1	ENSG00000113360	
TDH	1	ENSG00000154316	
KIF4CP	1	ENSG00000225025	
IGKV1-35	1	ENSG00000253461	
RALY	1	ENSG00000125970	
SLIT3	1	ENSG00000184347	
OXCT2	1	ENSG00000198754	
IGKV1-32	1	ENSG00000253870	
SLIT2	1	ENSG00000145147	
IGKV1-33	1	ENSG00000242076	
MTA2	1	ENSG00000149480	
MTA3	1	ENSG00000057935	
OR1D5	1	ENSG00000262628	
HSD3B7	1	ENSG00000099377	
OR1D4	1	ENSG00000255095	
OR1D2	1	ENSG00000184166	
HSD3B2	1	ENSG00000203859	
RAB5CP2	1	ENSG00000251356	
HSD3B1	1	ENSG00000203857	
RAB5CP1	1	ENSG00000213731	
ACTBP11	1	ENSG00000188460	
CKBP1	1	ENSG00000260889	
ACTBP12	1	ENSG00000233125	
ACTBP14	1	ENSG00000229001	
ACTBP15	1	ENSG00000213857	
ACTBP16	1	ENSG00000241473	
GOLGA5P1	1	ENSG00000251215	
GALC	1	ENSG00000054983	
ZNF736P1Y	1	ENSG00000223978	
GALE	1	ENSG00000117308	
TEC	1	ENSG00000135605	
VN1R108P	1	ENSG00000230772	
TNIP1	1	ENSG00000145901	
TEF	1	ENSG00000167074	
TNIP2	1	ENSG00000168884	
TNIP3	1	ENSG00000050730	
GALM	1	ENSG00000143891	
SLIRP	1	ENSG00000119705	
TEK	1	ENSG00000120156	
RPL28P1	1	ENSG00000213174	
GALP	1	ENSG00000197487	
RPL28P2	1	ENSG00000237641	
IPO13	1	ENSG00000117408	
IPO11	1	ENSG00000086200	
TES	1	ENSG00000135269	
POM121L14P	1	ENSG00000218189	
CAPN15	1	ENSG00000103326	
FAR2P2	1	ENSG00000178162	
MTBP	1	ENSG00000172167	
FAR2P1	1	ENSG00000180178	
FAR2P4	1	ENSG00000231431	
FAR2P3	1	ENSG00000240253	
TFG	1	ENSG00000114354	
IGKV1-16	1	ENSG00000240864	
IGKV1-17	1	ENSG00000240382	
IGKV1-12	1	ENSG00000243290	
IGKV1-13	1	ENSG00000253497	
HOMER3	1	ENSG00000051128	
GAMT	1	ENSG00000130005	
MBNL1	1	ENSG00000152601	
MBNL2	1	ENSG00000139793	
TAAR8	1	ENSG00000146385	
DNAAF3	1	ENSG00000167646	
DNAAF2	1	ENSG00000165506	
TAAR9	1	ENSG00000237110	
TAAR6	1	ENSG00000146383	
DNAAF1	1	ENSG00000154099	
POM121L15P	1	ENSG00000161103	
DNAAF6	1	ENSG00000080572	
TAAR5	1	ENSG00000135569	
TAAR2	1	ENSG00000146378	
DNAAF5	1	ENSG00000164818	
DNAAF4	1	ENSG00000256061	
TAAR1	1	ENSG00000146399	
DNAAF9	1	ENSG00000088854	
GANC	1	ENSG00000214013	
DNAAF8	1	ENSG00000166246	
MTAP	1	ENSG00000099810	
IGKV1-27	1	ENSG00000244575	
OR5BJ1P	1	ENSG00000257792	
IGKV1-22	1	ENSG00000253578	
MTDH	1	ENSG00000147649	
GAR1	1	ENSG00000109534	
LINC02610	1	ENSG00000186235	
FAM120AOS	1	ENSG00000188938	
BTF3	1	ENSG00000145741	
HOMER1	1	ENSG00000152413	
HOMER2	1	ENSG00000103942	
OR4C14P	1	ENSG00000233301	
PEDS1-UBE2V1	1	ENSG00000124208	
ATG4AP1	1	ENSG00000232735	
GAPT	1	ENSG00000175857	
CDKN1C	1	ENSG00000129757	
BTG4	1	ENSG00000137707	
SETD4	1	ENSG00000185917	
DENND1C	1	ENSG00000205744	
KIF3AP1	1	ENSG00000235836	
BTG3	1	ENSG00000154640	
SETD5	1	ENSG00000168137	
DENND1B	1	ENSG00000213047	
CDKN1A	1	ENSG00000124762	
